commit	mission_reward	secondary_rewards	steps	status	description
dd20aba	0.495000	junction.held=avg seeds42-47 (0.521,0.366,0.358,0.639,0.487,0.596)	1000	keep	machina_llm_roles 4A4M scripted fast-fail seeds 42-47 avg - BASELINE
9da719f	0.372000	junction.held=avg seeds42-47 (46=0.10,47=0.17 catastrophic)	1000	discard	cross_role scripted_miners 4A4M fast-fail seeds 42-47 avg - aligners fail seeds 46/47
dd20aba	0.540000	junction.held=avg seeds42-47 (0.564,0.543,0.337,0.614,0.565,0.614)	1000	keep	machina_llm_roles 5A3M scripted fast-fail seeds 42-47 avg - +9% over 4A4M baseline
dd20aba	0.467000	junction.held=avg seeds42-47 (0.453,0.591,0.430,0.294,0.607,0.429)	1000	discard	machina_llm_roles 6A2M scripted fast-fail seeds 42-47 avg - worse than 4A4M
dd20aba	0.450000	junction.held=avg seeds42-47 (0.450,0.484,0.368,0.520,0.518,0.362)	1000	discard	machina_llm_roles 3A5M scripted fast-fail seeds 42-47 avg - worse than 4A4M
dd20aba	0.549000	junction.held=avg seeds42-47 (0.559,0.653,0.337,0.518,0.635,0.590)	1000	discard	machina_llm_roles 5A1S2M return_load=20 fast-fail seeds 42-47 avg - scout still dying
dd20aba	0.634000	junction.held=avg seeds42-47 (0.475,0.685,0.761,0.511,0.699,0.673)	1000	keep	machina_llm_roles 4A0S4M no-scout return_load=20 fast-fail - HUGE +28% improvement!
0042a1e	0.645000	junction.held=avg seeds42-47 (0.475,0.685,0.761,0.511,0.699,0.740)	1000	keep	deposit_to_hub timeout extended to 200 steps (was 100) - seed 47 +10%
af3b8a9	0.663000	junction.held=avg seeds42-47 (0.475,0.685,0.761,0.511,0.699,0.849)	1000	keep	deposit_to_hub timeout loop fix: detect timeout in scripted choice, seed 47 +15%
0d35166	0.675000	junction.held=avg seeds42-47 (0.475,0.685,0.761,0.580,0.699,0.849)	1000	keep	deposit stale fix: explore when full-cargo+stale, add explore timeout 100s - seeds 45+47 both improved
5329e28	0.583000	seeds42-47 (0.61,0.46,0.49,0.50,0.59,0.85)	1000	discard	fix-miner-heart-theft: actorHas(aligner) filter on get_heart - contaminated aligners cant get hearts
5af16e9	0.507000	seeds42-47 (0.51,0.39,0.34,0.51,0.65,0.64)	1000	discard	primary-element-mining: per-miner element assignment - strict specialization hurts seeds 43/44/47
b117951	0.507000	seeds42-47 (0.57,0.55,0.60,0.63,0.75,0.50)	1000	discard	hub-aware-mining threshold=7: balanced deposit tracking - seed 47 drops 0.849->0.50 due to overriding routes
