commit	mission_reward	secondary_rewards	steps	status	description
34212b3	0.478000	held=3780 hearts_withdrawn=7 deaths=3	1000	keep	baseline 2A1M seed42 1k steps
40f0a99	0.640000	held=5399 hearts_withdrawn=7 deaths=1	1000	keep	v1: fast-path+deposit-tracking+periodic-hub-return seed42 1k
40f0a99	0.536000	held=4359 hearts_withdrawn=7 deaths=1	1000	keep	v1: fast-path+deposit-tracking+periodic-hub-return seed43 1k
40f0a99	0.749000	held=6490 hearts_withdrawn=6 deaths=0	1000	keep	v1: fast-path+deposit-tracking+periodic-hub-return seed44 1k
40f0a99	1.416000	held=4158 hearts_withdrawn=7 deaths=3 survived_10k=3/3	10000	keep	v1: fast-path+deposit-tracking+periodic-hub-return seed42 10k
68fcb93	1.531853	held=5317 hearts_withdrawn=5 deaths=0 survived_10k=3/3 hp_retreats=4	10000	keep	v3: mine-precondition+miner-explore-fastpath+hp-retreat seed42 10k
40f0a99	1.600739	held=6006 hearts_withdrawn=7 deaths=4 survived_10k=3/3	10000	keep	v2: hp-retreat-only (threshold=0.50) seed43 10k
68fcb93	1.601938	held=6018 hearts_withdrawn=8 deaths=2 survived_10k=1/3 hp_retreats=4	10000	keep	v3: mine-precondition+miner-explore-fastpath+hp-retreat seed43 10k
56faa48	1.559438	held=5593 hearts_withdrawn=5 deaths=1 survived_10k=2/3 hp_retreats=6	10000	keep	v4: hp-threshold-0.70 seed43 10k (BUG: agent1 stuck in retreat 9684 noop steps)
30e1798	1.531853	held=5317 hearts_withdrawn=5 deaths=1 survived_10k=2/3 aligned_gained=8	10000	keep	v5: hp-cap-100+threshold-0.70 seed42 10k
30e1798	1.548341	held=5482 hearts_withdrawn=8 deaths=1 survived_10k=2/3 aligned_gained=12	10000	keep	v5: hp-cap-100+threshold-0.70 seed43 10k (bug fixed, agent0 aligned 9 junctions!)
363b216	1.531853	held=5317 hearts_withdrawn=5 deaths=1 survived_10k=2/3 aligned_gained=8 hp_retreats=11 tethers=0	10000	keep	v6: contamination-recovery+miner-tethering seed42 10k
363b216	1.596331	held=5962 hearts_withdrawn=9 deaths=0 survived_10k=3/3 aligned_gained=14 hp_retreats=6 tethers=14	10000	keep	v6: contamination-recovery+miner-tethering seed43 10k (0 deaths! 14 gained! miner 40 of each element!)
30e1798	1.903657	held=9035 hearts_withdrawn=6 deaths=1 survived_10k=2/3 aligned_gained=9 hp_retreats=4	10000	keep	v5: hp-cap-100+threshold-0.70 seed44 10k (agent0 contaminated with scout for 8k steps)
f38e5ae	1.903657	held=9035 hearts_withdrawn=6 deaths=1 survived_10k=2/3 aligned_gained=9 hp_retreats=4 contam_explore=112 llm_calls=53	10000	keep	v6: contamination-recovery+miner-tethering seed44 10k (contam fix saves 75% LLM calls! agent0 +22% moves)
6e05db3	6.441854	held=27212 jxn_gained=73 deaths=15 deposits=2360 8agents	5000	keep	v37: depleted-extractor-adjacency-fix 4A4M seed42 5k (broken productivity freeze! +55% junctions vs baseline 47)
6e05db3	3.720414	held=27212 jxn_gained=73 deaths=15 deposits=2360 8agents	10000	keep	v37: depleted-extractor-adjacency-fix 4A4M seed42 10k (freeze at 5k now instead of 2k)
