commit	mission_reward	secondary_rewards	steps	status	description
14c7ac6	1101.7	junctions=51 hearts=57 (5-seed avg: 1026.8+1068.3+1177.9+1141.6+1093.8)	3000	keep	baseline: 4A+4M stuck=20 HUB_ALIGN=25 (5-seed avg)
b86d281	1125.5	junctions=57.4 hearts=67.4 (5-seed avg: 1025.1+1137.2+1208.6+1170.8+1085.9)	3000	keep	heart bug fix + 5A+3M + stuck=15 + HUB_ALIGN=30 + spread bonus (+2.2%)
b86d281	1111.7	junctions=56.8 hearts=71.0 (hearts<5 threshold — too much hoarding)	3000	discard	same code but hearts<5 threshold: excess hoarding wastes time
b86d281	1112.2	junctions=57.0 (hearts<4 threshold — still too much hoarding)	3000	discard	hearts<4 threshold: 14 avg unused hearts at end
b86d281	1112.6	junctions=57.0 stuck_threshold=10 — too aggressive	3000	discard	stuck=10: agents give up navigation too early
b86d281	1019.7	6A+2M: gear contamination + too few miners	3000	discard	aligner_fraction=0.75 (6A+2M): mining bottleneck + gear contamination
b86d281	1077.4	junction deposit for miners: inconsistent across seeds	3000	discard	miner junction deposit (>5 cells): helps some seeds but -19% on seed 45
b86d281	1083.4	aggressive nav shake: more move failures	3000	discard	nav shake at 3/2 instead of 5/3: causes MORE move failures
7076aba	900.0	junctions=55.4 (5-seed avg: 863.2+867.3+942.2+950.3+877.3)	3000	keep	HUB_ALIGN=35 + spread bonus + enemy priority (+6.4% vs re-baselined 846.2)
7076aba	813.0	junctions=52.8 (5A+3M: mining bottleneck)	3000	discard	5A+3M with HUB_ALIGN=35: -7.4% vs 4A+4M, mining throughput too low
7076aba	866.0	junctions=52.6 (stuck=15: too aggressive)	3000	discard	stuck_threshold=15: reduces max_stuck from 776→110 but loses -1.3% avg
7076aba	828.0	junctions=53.0 (heart bug fix alone: worse)	3000	discard	heart progress bug fix only: -2.2%, faster hub exit actually helps throughput
7076aba	874.0	junctions=54.3 (HUB_ALIGN=40: too far)	3000	discard	HUB_ALIGN=40: agents travel too far, -2.9% vs HUB_ALIGN=35
7076aba	838.0	junctions=52.3 (COOLDOWN=3: worse)	3000	discard	MOVE_COOLDOWN=3: more move failures, -5% vs baseline COOLDOWN=6
f45d587	949.6	junctions=55.0 hearts=57.4 (5-seed: 927.8+916.1+1029.7+873.4+1000.9)	3000	keep	2A+6M + HUB_ALIGN=35 + spread + enemy (+12.2% vs baseline 846.2)
4168ad3	1137.0	junctions=57.2 hearts=61.8 (5-seed: 1048.1+1087.5+1210.8+1203.7+1135.3)	3000	keep	patience=10 + 2A+6M + HUB_ALIGN=35 (+19.5% vs baseline, +7.3% vs prev best)
4168ad3	4305.6	junctions=56.3 hearts=60.0 (3-seed: 3960.2+4279.9+4676.8)	10000	keep	10k validation: patience=10 + 2A+6M (+2.7% vs prev 10k avg 4193.5)
4168ad3	1059.9	junctions=52 (no spread: -0.3%, within noise)	3000	discard	spread bonus removed: no effect with only 2 aligners
4168ad3	1073.5	return_load=20 (more frequent deposits: -3.7%)	3000	discard	return_load=20: extra travel time wastes miner productivity
4168ad3	1081.4	stuck_threshold=15: -3.0%	3000	discard	stuck=15 + patience=10: agents abandon targets too quickly
