commit	mission_reward	secondary_rewards	steps	status	description
cbbc1e9	826.429260	hearts=49 junctions=45	3000	keep	baseline: 8 real agents seed 42
cbbc1e9	164.967331	hearts=6 junctions=6	3000	discard	pre-fix: 4+4 noop seed 42 (ALL aligners 0 miners)
9ccb6df	881.642700	hearts=53 junctions=48	3000	keep	exp1 dynamic roles: 8 real seed 42 (+6.7% vs baseline)
9ccb6df	776.702148	hearts=n/a junctions=n/a	3000	keep	exp1 dynamic roles: 8 real seed 123
9ccb6df	566.797668	hearts=35 junctions=33	3000	keep	exp1 dynamic roles: 4+4 noop seed 42 (3.4x vs pre-fix)
9ccb6df	421.241730	hearts=26 junctions=24	3000	keep	exp1 dynamic roles: 4+4 noop seed 123
9ccb6df	565.316589	hearts=34 junctions=33	3000	keep	exp1 dynamic roles: 2+6 noop seed 42 (1A+1M)
9ccb6df	521.056763	hearts=31 junctions=28	3000	discard	exp2 ratio 0.75: 4+4 noop seed 42 (worse)
9ccb6df	642.490173	hearts=40 junctions=35	3000	discard	exp2 ratio 0.75: 8 real seed 42 (-27% regression)
f435ae7	644.158081	hearts=34 junctions=32	3000	keep	exp3 adaptive load: 4+4 noop seed 42 (+15% vs exp1)
f435ae7	557.738647	hearts=n/a junctions=n/a	3000	keep	exp3 adaptive load: 4+4 noop seed 123 (+32% vs exp1)
f435ae7	881.642700	hearts=53 junctions=48	3000	keep	exp3 adaptive load: 8 real seed 42 (no regression)
f435ae7	3625.930664	hearts=53 junctions=48	10000	keep	exp3 adaptive load: 8 real seed 42 (10k steps)
f435ae7	2470.606445	hearts=35 junctions=33	10000	keep	exp3 adaptive load: 4+4 noop seed 42 (10k steps)
