commit	mission_reward	secondary_rewards	steps	status	description
e7be1f0	1101.235596	hearts=66 junctions=52	3000	keep	baseline: 4A+4M v52 config (3-seed avg seeds 42/123/7)
e7be1f0	1118.273397	hearts=67.3 junctions=53	3000	keep	A* v1: pure A* replacement of BFS in miner and aligner (3-seed avg seeds 42/123/7)
e7be1f0	1087.134531	hearts=66 junctions=-	3000	discard	A* v2: congestion-aware A* +3 cost for occupied cells (3-seed avg seeds 42/123/7)
e7be1f0	1092.823364	hearts=64.3 junctions=-	3000	discard	A* v3: congestion-aware A* +1 cost (3-seed avg seeds 42/123/7)
e7be1f0	1047.313944	hearts=62.3 junctions=-	3000	discard	weighted A* 1.5x heuristic (3-seed avg seeds 42/123/7)
e7be1f0	1074.890462	hearts=65.3 junctions=-	3000	discard	A* + cooldown 6→3 (3-seed avg seeds 42/123/7)
3a1b256	1138.416667	hearts=68.3 junctions=56	3000	keep	A* v4: path-cost junction selection in aligner (3-seed avg seeds 42/123/7)
3a1b256	1120.440000	hearts=67 junctions=-	3000	discard	miner path-cost extractor selection (3-seed avg seeds 42/123/7)
3a1b256	1078.037109	hearts=61 junctions=51	3000	discard	hub_dist weight=0.0 pure travel cost (seed 42 only)
3a1b256	1099.829224	hearts=60 junctions=51	3000	discard	hub_dist weight=0.5 (seed 42 only)
3a1b256	1059.079712	hearts=62 junctions=50	3000	discard	hub_dist weight=0.3 (seed 42 only)
3a1b256	1041.022339	hearts=58 junctions=49	3000	discard	3A+5M team composition (seed 42 only)
3a1b256	1054.594360	hearts=69 junctions=53	3000	discard	5A+3M team composition (seed 42 only)
3a1b256	1026.050415	hearts=68 junctions=53	3000	discard	move cooldown 6→4 (seed 42 only)
