commit	mission_reward	secondary_rewards	steps	status	description
4531257	1060.38	junctions=55.3 hearts=61.0	3000	keep	baseline: 4A4M 3-seed avg (42/43/44) stuck_threshold=15
7055f58	1060.38	junctions=55.3 hearts=61.0	3000	discard	cooldown-fix: activate get_heart_cooldown_steps on failure (no effect - get_heart never fails)
10456cd	1130.17	junctions=56.3 hearts=60.3	3000	keep	3A5M split: 3 aligners + 5 miners (+6.6% vs baseline)
10456cd	1074.83	junctions=55.3 hearts=59.7	3000	discard	3A5M + stuck_threshold=28 (worse than st=15)
10456cd	1118.22	junctions=56.0 hearts=60.0	3000	discard	3A5M + stuck_threshold=20 (worse than st=15)
10456cd	1014.02	junctions=53.7 hearts=56.3	3000	discard	2A6M split: too few aligners
10456cd	1113.11	junctions=55.7 hearts=60.7	3000	discard	5A3M split: contamination from station contention
10456cd	1068.31	junctions=51.0 hearts=59.0	3000	discard	3A5M + stuck_threshold=10 (too aggressive, -5.5%)
10456cd	1090.16	junctions=51.0 hearts=59.0	3000	discard	3A5M + return_load=30 (more hub trips, -3.5%)
10456cd	1123.34	junctions=51.0 hearts=59.0	3000	keep	3A5M 6-seed validation (42-47): +1.6% vs 4A4M
10456cd	4340.85	junctions=51.0 hearts=60.3	10000	keep	3A5M 10K 3-seed avg (42/43/44)
10456cd	1087.01	junctions=n/a hearts=n/a	3000	discard	cascade_gain scoring: prioritize junctions that unlock more (-3.8% vs 3A5M)
10456cd	1095.77	junctions=n/a hearts=n/a	3000	discard	progress-fix-only (threshold=3): heart progress tracking fix alone (-3.0%)
c3f6e8a	1153.24	junctions=n/a hearts=n/a	3000	keep	hearts5+progress-fix: 6-seed avg (42-47) accumulate 5 hearts + fix progress tracking (+2.7% vs 3A5M)
c3f6e8a	4370.57	junctions=n/a hearts=n/a	10000	keep	hearts5+fix 10K 3-seed avg (42/43/44) (+0.7% vs 3A5M 10K)
c3f6e8a	1105.88	junctions=n/a hearts=n/a	3000	discard	2A6M+hearts5: too few aligners (-4.1% vs hearts5)
c3f6e8a	1148.77	junctions=n/a hearts=n/a	3000	discard	hearts=7+fix: diminishing returns on accumulation (-1.0% vs hearts5)
c3f6e8a	1083.86	junctions=n/a hearts=n/a	3000	discard	4A4M+hearts5: too many aligners (-6.6% vs hearts5)
c3f6e8a	1151.77	junctions=n/a hearts=n/a	3000	discard	junction_dist=18+hearts5: tighter cascade match (0% effect vs hearts5)
c3f6e8a	1097.59	junctions=n/a hearts=n/a	3000	discard	explore_cap=22+hearts5: shorter explore hurts (-5.4% vs hearts5)
c3f6e8a	1148.35	junctions=n/a hearts=n/a	3000	discard	explore_cap=45+hearts5: longer explore no help (-1.0% vs hearts5)
c3f6e8a	1139.81	junctions=n/a hearts=n/a	3000	discard	hearts=4+fix: fewer hearts per trip (-1.7% vs hearts5)
c3f6e8a	1159.38	junctions=n/a hearts=n/a	3000	discard	adaptive-hearts (3-7)+fix: same as hearts5 (0% effect)
c3f6e8a	1123.54	junctions=n/a hearts=n/a	3000	discard	return_load=30+hearts5: more frequent deposits (-3.1% vs hearts5)
c3f6e8a	1162.49	junctions=n/a hearts=n/a	3000	discard	stuck_threshold=12+hearts5: faster stuck detection (+0.2% noise vs hearts5)
c3f6e8a	1160.32	junctions=n/a hearts=n/a	3000	discard	hearts=6+fix 6-seed avg: +0.6% vs hearts5 (noise, not significant)
3bebf20	3.04	junctions_gained=63.3 junction_held=27441	3000	baseline	[POST-REBASE] 3A5M baseline 3-seed avg (42/43/44) per_cog reward, new map gen ~140 junctions
3bebf20	3.07	junctions_gained=63.3 junction_held=27441	3000	discard	[POST-REBASE] nav shake 3/2: seed42 +24.8%, seed43 -12.4%, seed44 -19.1%, avg +1.0% (high variance)
WIP	6.89	junctions_gained=97 junction_held=65939	3000	superseded	[POST-REBASE] HP retreat 25%: enable aligner HP retreat at 25% threshold. +126.6% avg (42:+50.9%, 43:+250.8%, 44:+144.9%)
WIP	8.01	junctions_gained=n/a junction_held=n/a	3000	keep	[POST-REBASE] HP retreat 35%: tuned threshold from 25% to 35%. +163.5% avg vs baseline (42:7.94, 43:6.37, 44:9.73)
WIP	6.40	junctions_gained=n/a junction_held=n/a	3000	discard	[POST-REBASE] 4A4M+HP retreat 25%: more aligners helps less. avg 6.40 (42:7.80, 43:5.78, 44:5.62)
WIP	6.87	junctions_gained=n/a junction_held=n/a	3000	discard	[POST-REBASE] HP retreat 30%: threshold sweep. avg 6.87 (42:5.42, 43:5.50, 44:9.69)
WIP	7.21	junctions_gained=n/a junction_held=n/a	3000	discard	[POST-REBASE] HP retreat 40%: threshold sweep. avg 7.21 (42:5.76, 43:6.16, 44:9.70)
WIP	7.37	junctions_gained=n/a junction_held=n/a	3000	discard	[POST-REBASE] HP retreat 45%: threshold sweep. avg 7.37 (42:6.16, 43:6.25, 44:9.70)
83a3ded	9.87	hearts=n/a	3000	discard	[POST-REBASE] 5A3M+HP35%: more aligners helps. avg 9.87 (42:11.96, 43:5.70, 44:11.95) but not optimal
