commit	mission_reward	secondary_rewards	steps	status	description
0ba8850	200.09	10-seed: 237/200/212/223/194/165/226/238/138/168	1000	keep	baseline: uTokl integrated (hub_dist=0.2 max_hearts=4 safe_wander 3A5M-static)
0ba8850	192.86	10-seed: 219/213/196/85/205/143/236/222/241/169	1000	discard	proportional 3/8 ratio: seed 45 collapsed 223→85 due to spawn positions
0ba8850	200.09	10-seed: identical to baseline	1000	discard	enemy junction priority bonus (-8): no effect in self-play (no enemy junctions)
0ba8850	180.91	10-seed: 229/185/197/223/158/136/226/167/120/168	1000	discard	adaptive hearts (2/3/4 by junction dist): -9.6% fewer hearts per trip wastes more travel
0ba8850	202.01	10-seed: 237/196/212/223/222/145/226/238/138/183	1000	keep	aligner BFS cooldown bypass: +1.0% helps congested seeds (46 +14.8% 51 +9.0%)
08557ee	185.99	10-seed: 218/198/176/221/207/165/219/196/126/133	1000	discard	move_cooldown 6→4: -7.9% too short causes more congestion
08557ee	161.46	10-seed: 239/204/203/76/170/117/178/121/125/181	1000	discard	move_cooldown 6→8: -20% too long prevents path recovery
08557ee	199.33	10-seed: 237/196/212/207/218/145/226/233/137/183	1000	discard	junction_align_dist 20→15: -1.3% tighter check misses some alignable junctions
08557ee	196.66	10-seed: 214/207/205/228/178/148/231/236/123/196	1000	discard	rush deposit (half load until 56 resources): -2.7% travel overhead too high
08557ee	202.05	10-seed: 205/196/222/243/146/182/226/273/134/194	1000	discard	dynamic hub approach: +0% high variance, congestion on some seeds
08557ee	197.16	10-seed: 238/195/179/210/222/144/226/238/138/183	1000	discard	explore cap 40→60: -2.4% aligners waste time exploring
08557ee	204.55	10-seed: 237/197/212/223/244/148/226/238/138/183	1000	keep	miner BFS cooldown bypass: +1.3% helps congested seeds (46 +9.8%)
