commit	mission_reward	secondary_rewards	steps	status	description
14c7ac6	0.581	jh=2809 jg=2.94 hw=5.0	3000	discard	baseline: machina_roles (wrong policy) 2A+6M default config (3-ep avg)
14c7ac6	2.690	jh=23897 jg=53.7 hw=347	3000	keep	baseline: machina_llm_roles 4A+4M default config (3-ep avg)
14c7ac6	3.165	jh=23897 jg=53.7 hw=347	3000	keep	baseline: machina_llm_roles 4A+4M default config (5-ep avg)
f717a9c	2.717	jh=24163 jg=55.0	3000	discard	cascade-expand junction priority (+1% marginal not worth overhead)
0bd15cc	2.892	jh=25916 jg=62.0	3000	keep	5A+3M (fraction=0.625) (+7.5% vs baseline 3-ep)
0bd15cc	3.152	jh=25916 jg=62.0	3000	keep	5A+3M (fraction=0.6) + heart queue max(4) (5-ep avg)
c0667e8	2.182	jh=18825 jg=53.3	3000	discard	5A+3M stuck_threshold=15 + defend-when-starved (-24.6%)
01d4b01	2.497	jh=n/a jg=n/a	3000	discard	JUNCTION_ALIGN_DISTANCE=30 (-20.8%)
e11e905	3.265	jh=29655 jg=62.6	3000	keep	5A+3M + HUB_ALIGN_DISTANCE=30 + contam avoid (5-ep avg +3.2%)
273bbbb	3.000	jh=27000 jg=57.4	3000	discard	enemy junction priority bonus=-5 (-8.1%)
273bbbb	3.228	jh=29284 jg=56.6	3000	discard	enemy junction priority bonus=-2 (-1.1%)
273bbbb	1.809	jh=15090 jg=46.2	3000	discard	6A+2M fraction=0.75 (-44.6%)
273bbbb	2.408	jh=19871 jg=49.2	3000	discard	JUNCTION_ALIGN_DISTANCE=28 (-26.3%)
273bbbb	2.946	jh=26456 jg=58.4	3000	discard	L2 distance fix (game-accurate 15/25) (-9.8%)
273bbbb	2.345	jh=n/a jg=n/a	3000	discard	return_load=25 (-28.2%)
273bbbb	2.550	jh=22500 jg=51.0	3000	discard	get_heart timeout=60 (-21.9%)
273bbbb	3.417	jh=31174 jg=65.6	3000	keep	best: explore-not-defend after heart timeout (5-ep avg +4.7%)
273bbbb	3.283	jh=29831 jg=64.2	3000	keep	explore-not-defend (10-ep avg +0.5%)
ec2b9ca	3.469	jh=21176 jg=44.4	3000	keep	best: spread bonus 0.05 + junction deposit (10-ep avg +5.7%)
ec2b9ca	2.633	jh=n/a jg=n/a	3000	discard	return_load=30 (-24.1% vs 3.469)
ec2b9ca	3.574	jh=n/a jg=n/a	3000	discard	enemy recapture bonus=-5 gated travel<=15 (5-ep, weaker than -3)
4953971	3.619	jh=n/a jg=n/a	3000	keep	enemy recapture bonus=-3 gated travel<=15 (10-ep avg +4.3%)
4953971	3.766	jh=n/a jg=n/a	3000	discard	enemy recapture travel<=20 (5-ep, worse than <=15)
4953971	3.766	jh=n/a jg=n/a	3000	discard	enemy recapture travel<=10 (5-ep, worse than <=15)
4953971	3.076	jh=n/a jg=n/a	3000	discard	heart queue max(3) (-13.3%)
4953971	3.070	jh=n/a jg=n/a	3000	discard	stuck_threshold=25 (-26.5%)
dccb8c4	3.991	jh=n/a jg=n/a	3000	keep	best: stuck_threshold=15 (10-ep avg +10.3% vs 3.619)
dccb8c4	2.212	jh=n/a jg=n/a	3000	discard	split timeout get_heart*3/align_neutral*5 (-45.9% 5-ep)
dccb8c4	4.086	jh=n/a jg=n/a	3000	keep	baseline verification 5-ep avg (code at dccb8c4)
dccb8c4	3.421	jh=n/a jg=n/a	3000	discard	MOVE_COOLDOWN=3 (-16.3% 5-ep)
dccb8c4	3.532	jh=n/a jg=n/a	3000	discard	MOVE_COOLDOWN=4 (-13.6% 5-ep)
dccb8c4	3.880	jh=n/a jg=n/a	3000	discard	spread_bonus=0.10 (-5.0% 5-ep)
dccb8c4	3.844	jh=n/a jg=n/a	3000	discard	reclaim lost junctions bonus=-5 (-3.7% 10-ep)
dccb8c4	4.002	jh=n/a jg=n/a	3000	discard	explore cap stuck_threshold*1 (-2.1% 5-ep)
3da4e05	4.128	jh=62576 jg=78 deaths=2.75	3000	keep	best: enable aligner HP retreat (10-ep avg +3.4% vs 3.991)
3da4e05	3.377	jh=n/a jg=n/a	3000	discard	HP_RETREAT_THRESHOLD=0.55 (-17.4% 5-ep)
3da4e05	3.419	jh=n/a jg=n/a	3000	discard	HP_RETREAT_THRESHOLD=0.60 (-16.3% 5-ep)
3da4e05	3.293	jh=n/a jg=n/a	3000	discard	HP_RETREAT_THRESHOLD=0.80 (-19.4% 5-ep)
