commit	mission_reward	secondary_rewards	steps	status	description
baseline	2.89	junctions=46 deposits=2134 hearts=5 deaths=2	10000	keep	CrossRoleState fix only (seed 42) - 5A3M return_load=20
baseline	1.47	junctions=4 deposits=160 hearts=4 deaths=1	10000	keep	CrossRoleState fix only (seed 123) - 5A3M return_load=20 - severe congestion
baseline	2.01	junctions=25 deposits=2100 hearts=4 deaths=6	10000	keep	CrossRoleState fix only (seed 456) - 5A3M return_load=20
818a5bb	2.42	junctions=30 deposits=1910 hearts=5 deaths=2	10000	discard	all mining fixes (depleted_extractors+explore_timeout+hub55) seed 42 - WORSE than baseline
3e60f22	2.05	junctions=34 deposits=1610 hearts=5 deaths=2	10000	discard	3A5M config (seed 42) - fewer junctions and deposits than 5A3M baseline
3e60f22	2.17	junctions=24 deposits=1788 hearts=4 deaths=89	10000	discard	3A5M config (seed 456) - massive miner mortality (89 deaths)
e1e40e6	2.24	junctions=21 deposits=590 hearts=5 deaths=3	10000	discard	faster gear conversion 10->4 (seed 42) - lost aligners -> -54% junctions -72% deposits
e1e40e6	1.47	junctions=4 deposits=40 hearts=4 deaths=1	10000	discard	faster gear conversion 10->4 (seed 123) - no change
e1e40e6	2.37	junctions=42 deposits=2148 hearts=4 deaths=44	10000	discard	faster gear conversion 10->4 (seed 456) - +18% but avg is worse
10f5da7	2.10	junctions=29 deposits=2840 hearts=5 deaths=5	10000	discard	return_load=40 (seed 42) - deposits +33% but reward -27%
10f5da7	1.44	junctions=4 deposits=840 hearts=4 deaths=1	10000	discard	return_load=40 (seed 123) - deposits +425% but reward -2%
10f5da7	3.22	junctions=51 deposits=2780 hearts=4 deaths=49	10000	discard	return_load=40 (seed 456) - deposits +32% reward +60% but high variance avg only +6%
e30dfff	3.04	junctions=54 deposits=2774 hearts=5 deaths=6	10000	keep	JUNCTION_ALIGN_DISTANCE 20->15 (seed 42) - new best! +5.2% reward +17% junctions
e30dfff	2.04	junctions=38 deposits=2148 hearts=4 deaths=17	10000	keep	JUNCTION_ALIGN_DISTANCE 20->15 (seed 456) - +1.5% reward +52% junctions
e0e6e6f	2.77	junctions=50 deposits=1520 hearts=5 deaths=2	10000	discard	hub_dist weight 0.7->0.3 (seed 42) - deposits crashed -45%, reverted
e0e6e6f	2.04	junctions=38 deposits=2092 hearts=4 deaths=17	10000	discard	hub_dist weight 0.7->0.3 (seed 456) - no change from junction fix alone
e30dfff	2.84	junctions=54 deposits=3430 hearts=56 deaths=11	10000	discard	junction fix + return_load=40 (seed 42) - deposits +24% but reward -7% vs jf alone, more deaths
e30dfff	1.44	junctions=4 deposits=840 hearts=4 deaths=1	10000	discard	junction fix + return_load=40 (seed 123) - unchanged from baseline bad seed
e30dfff	2.71	junctions=40 deposits=2310 hearts=45 deaths=33	10000	discard	junction fix + return_load=40 (seed 456) - reward +33% but 2x deaths, high variance
1d9d084	3.04	junctions=54 deposits=2774 hearts=5 deaths=6	10000	keep	heart cooldown fix (seed 42) - identical to junction fix baseline, no regression
1d9d084	2.87	junctions=58 deposits=2494 hearts=4 deaths=11	10000	keep	heart cooldown fix (seed 456) - +41% reward +53% junctions vs junction fix baseline
